"name","city","state","zip","phone","website","instagram","email","email_source","google_review_count","google_star_rating","address","gbp_url","categories","top_competitor_1_name","top_competitor_1_reviews","top_competitor_1_stars","top_competitor_1_distance","top_competitor_2_name","top_competitor_2_reviews","top_competitor_2_stars","top_competitor_2_distance","top_competitor_3_name","top_competitor_3_reviews","top_competitor_3_stars","top_competitor_3_distance","notes","call_status","call_attempts","last_attempted"
"Medical Spa - Laser Hair Removal, Injections, PRP, Chemical Peels, Microneedling, IV Hydration & More in Alpharetta, Georgia","Alpharetta","Georgia","30005","(470) 867-9780","http://www.sadeskinco.com/","","","","92","5.0","6780 Jamestown Dr, Alpharetta, GA 30005","https://www.google.com/maps/search/?api=1&query=Medical%20Spa%20-%20Laser%20Hair%20Removal%2C%20Injections%2C%20PRP%2C%20Chemical%20Peels%2C%20Microneedling%2C%20IV%20Hydration%20%26%20More%20in%20Alpharetta%2C%20Georgia&query_place_id=ChIJ7b88XwB19YgREZad3A9-f64","Medical spa","Cosmo Med Spa & Salon","725","4.7","2.81","Windward Healthcare and Aesthetics","115","4.9","2.43","SafiraMD Medical Aesthetics & Wellness Center","36","4.9","0.88","","not_called","0",""
"Free Spirit Aesthetics and Wellness","Alpharetta","Georgia","30022","(770) 641-8014","https://fsaesthetics.com/","","","","134","5.0","8465 Holcomb Bridge Rd #410, Alpharetta, GA 30022","https://www.google.com/maps/search/?api=1&query=Free%20Spirit%20Aesthetics%20and%20Wellness&query_place_id=ChIJB4fQs0AL9YgR1wEx2YlnMnU","Medical spa; Skin care clinic","dermani MEDSPA® Alpharetta","269","4.8","4.12","Skin Pharm","154","5.0","5.51","OVME","138","4.8","5.6","","not_called","0",""
"Cosmo Med Spa & Salon","Alpharetta","Georgia","30022","(678) 829-7722","https://www.cosmomedspaatl.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11774587126577550291","","cosmomedspansalon@gmail.com","contact_page","725","4.7","11550 Jones Bridge Rd #6, Alpharetta, GA 30022","https://www.google.com/maps/search/?api=1&query=Cosmo%20Med%20Spa%20%26%20Salon&query_place_id=ChIJVekYUeKe9YgRenwCvh9GLQk","Medical spa; Laser hair removal service; Skin care clinic; Weight loss service","NXTGEN BODIES MD MedSpa & Wellness","132","4.9","3.03","Windward Healthcare and Aesthetics","115","4.9","2.79","Medical Spa - Laser Hair Removal, Injections, PRP, Chemical Peels, Microneedling, IV Hydration & More in Alpharetta, Georgia","92","5.0","2.81","","not_called","0",""
"OVME","Alpharetta","Georgia","30009","(470) 289-6863","https://ovme.com/pages/atwater-alpharetta-ga","","","","138","4.8","2685 Old Milton Pkwy Bldg 200, Suite 120, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJNUG28iZ19YgRdhe8k6BCvmw","Medical spa; Laser hair removal service","AYA Medical Spa Avalon - Alpharetta","220","4.9","0.21","SHINE Medical Aesthetics","154","5.0","0.08","Skin Pharm","154","5.0","0.09","","not_called","0",""
"AYA Medical Spa Avalon - Alpharetta","Alpharetta","Georgia","30009","(678) 496-7613","https://ayaskin.com/locations/avalon-medspa?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=georgia-avalon","","","","220","4.9","2130 Avalon Blvd, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=AYA%20Medical%20Spa%20Avalon%20-%20Alpharetta&query_place_id=ChIJF0pAcIR19YgRm-GECNMMyvA","Medical spa; Facial spa; Laser hair removal service; Skin care clinic","SHINE Medical Aesthetics","154","5.0","0.19","Skin Pharm","154","5.0","0.27","OVME","138","4.8","0.21","","not_called","0",""
"Youthtopia Med Spa","Alpharetta","Georgia","30009","(770) 637-0428","http://youthtopiamedspa.com/","","info@youthtopiamedspa.com","contact_page","467","4.8","33 Teasley St Ste 115, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=Youthtopia%20Med%20Spa&query_place_id=ChIJVzgJ0jSe9YgR0AukYZ27qo4","Medical spa","First Body","314","5.0","0.19","Contoura Medspa","168","5.0","0.82","Grace Aesthetics + Wellness","81","5.0","0.86","","not_called","0",""
"Skin Pharm","Alpharetta","Georgia","30009","(470) 286-4899","https://skinpharm.com/alpharetta","","hello@skinpharm.com","contact_page","154","5.0","100 Kimball Pl STE 570, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=Skin%20Pharm&query_place_id=ChIJRxdQ9y119YgRA1Hcjo88csE","Medical spa; Skin care clinic","AYA Medical Spa Avalon - Alpharetta","220","4.9","0.27","SHINE Medical Aesthetics","154","5.0","0.17","OVME","138","4.8","0.09","","not_called","0",""
"Vie Riche","Alpharetta","Georgia","30009","(770) 558-2807","https://vieriche.com/","","hello@vieriche.com","contact_page","73","4.9","4105 Lake St, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=Vie%20Riche&query_place_id=ChIJL2V4ZBd19YgRFMrvEy0SoHE","Medical spa; Facial spa; Weight loss service","dermani MEDSPA® Alpharetta","269","4.8","0.9","Skin Pharm","154","5.0","0.83","SHINE Medical Aesthetics","154","5.0","0.95","","not_called","0",""
"First Body","Alpharetta","Georgia","30009","(770) 769-2649","https://firstbodywellnesscenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","seo.loginuser@growth99.com","contact_page","314","5.0","100 N Main St Suite 330, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=First%20Body&query_place_id=ChIJe3vPb7119YgRPEB5VQqNmeg","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Weight loss service","Youthtopia Med Spa","467","4.8","0.19","Contoura Medspa","168","5.0","0.68","SHINE Medical Aesthetics","154","5.0","0.96","","not_called","0",""
"Contoura Medspa","Alpharetta","Georgia","30009","(770) 250-6000","https://contouramedspa.com/","","info@contouramedspa.com","contact_page","168","5.0","488 N Main St Ste 107, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=Contoura%20Medspa&query_place_id=ChIJuRCzOEp19YgR8NtRiAqrCl4","Medical spa; Facial spa; Spa","Youthtopia Med Spa","467","4.8","0.82","First Body","314","5.0","0.68","Glitz and Glam Aesthetic","67","5.0","1.25","","not_called","0",""
"Ferrara Medical Aesthetics","Marietta","Georgia","30068","(678) 653-8285","https://ferraramedicalaesthetics.com/","","Info@FerraraMedicalAesthetics.com","contact_page","149","5.0","1000 Johnson Ferry Rd building e suite 125, Marietta, GA 30068","https://www.google.com/maps/search/?api=1&query=Ferrara%20Medical%20Aesthetics&query_place_id=ChIJo8J-894N9YgRtZHZvfynwX4","Medical spa; Skin care clinic; Weight loss service","OPAL Aesthetics - East Cobb","557","5.0","0.43","OVME","251","4.9","1.1","dermani MEDSPA® East Cobb","173","4.9","0.48","","not_called","0",""
"Regenerative MedSpa of Buckhead","Atlanta","Georgia","30309","(404) 816-8557","https://www.regenmedspabuckhead.com/","","","","76","4.9","2061 Peachtree Rd NE Suite 250, Atlanta, GA 30309","https://www.google.com/maps/search/?api=1&query=Regenerative%20MedSpa%20of%20Buckhead&query_place_id=ChIJ60GYmuIF9YgRBcg0S2_roes","Medical spa","LumiVita Buckhead","582","4.9","0.66","dermani MEDSPA® Buckhead","414","4.7","1.65","AYA Medical Spa Colony Square - Midtown","211","4.8","1.67","","not_called","0",""
"dermani MEDSPA® Alpharetta","Alpharetta","Georgia","30022","(404) 885-8701","https://dermanimedspa.com/alpharetta-ga/","","info@dermanimedspa.com","contact_page","269","4.8","6480 North Point Pkwy #1100a, Alpharetta, GA 30022","https://www.google.com/maps/search/?api=1&query=dermani%20MEDSPA%C2%AE%20Alpharetta&query_place_id=ChIJma_vIdx19YgRy_TCkCalx4k","Medical spa; Facial spa; Hair removal service; Laser hair removal service","Skin Pharm","154","5.0","1.72","SHINE Medical Aesthetics","154","5.0","1.85","OVME","138","4.8","1.79","","not_called","0",""
"Lifespring Antiaging & Aesthetic Medicine","Atlanta","Georgia","30328","(404) 812-0211","http://www.lifespringantiaging.com/","","info@email.com","contact_page","324","4.2","750 Hammond Dr Bldg 6, Suite 200, Atlanta, GA 30328","https://www.google.com/maps/search/?api=1&query=Lifespring%20Antiaging%20%26%20Aesthetic%20Medicine&query_place_id=ChIJx6zWnfUF9YgRM4ub9mkZ9J8","Medical spa; Laser hair removal service; Skin care clinic","WIFH","378","4.9","0.69","CULT Aesthetics","292","5.0","0.57","The Atlanta Aesthetician ""Aesthetics of Atlanta","71","4.5","0.62","","not_called","0",""
"Amada Med Spa","Marietta","Georgia","30068","(678) 530-5547","https://amadamedspa.net/","","amadamedspa@gmail.com","contact_page","88","4.8","133 Johnson Ferry Rd Suite B, Marietta, GA 30068","https://www.google.com/maps/search/?api=1&query=Amada%20Med%20Spa&query_place_id=ChIJfxrX83UN9YgRC1vhpkc-f2A","Medical spa; Laser hair removal service; Permanent make-up clinic; Skin care clinic; Spa","OPAL Aesthetics - East Cobb","557","5.0","1.77","dermani MEDSPA® East Cobb","173","4.9","1.78","Atlanta MediSpa & Surgery Center - East Cobb","167","4.8","2.07","","not_called","0",""
"New You Aesthetic","Marietta","Georgia","30064","(770) 558-9773","https://newyouaesthetic.com/","","ecom-swiper@11.css","contact_page","422","5.0","3951 Mary Eliza Trace NW #100, Marietta, GA 30064","https://www.google.com/maps/search/?api=1&query=New%20You%20Aesthetic&query_place_id=ChIJ0Ya5u8s59YgRSArZKz6j5QY","Medical spa","Marietta Plastic Surgery","1038","4.9","6.62","Refinery21 Studio","302","5.0","5.21","Signature Image Atlanta","115","4.9","2.96","","not_called","0",""
"Nazra Aesthetics","Marietta","Georgia","30062","(404) 403-0100","https://www.nazraaesthetics.com/","","Info@nazraaesthetics.com","contact_page","219","4.9","4347 Shallowford Rd, Marietta, GA 30062","https://www.google.com/maps/search/?api=1&query=Nazra%20Aesthetics&query_place_id=ChIJQRBtdtMN9YgRLzExL9YaCzM","Medical spa; Skin care clinic","OVME","251","4.9","3.28","Atlanta MediSpa & Surgery Center - East Cobb","167","4.8","3.3","Marietta's Best Medspa, Anti Aging & Regenerative Medicine: Modern Beauty Oasis","132","5.0","0.73","","not_called","0",""
"Omni Medspa - Marietta","Marietta","Georgia","30068","(678) 653-8696","https://theomnispa.com/","","info@theomnispa.com","contact_page","127","5.0","4880 Lower Roswell Rd Suite 635, Marietta, GA 30068","https://www.google.com/maps/search/?api=1&query=Omni%20Medspa%20-%20Marietta&query_place_id=ChIJm1KatzcN9YgRZboM_cWHtRA","Medical spa; Facial spa; Laser hair removal service; Medical clinic; Skin care clinic; Weight loss service; Wellness center","OPAL Aesthetics - East Cobb","557","5.0","0.97","OVME","251","4.9","1.56","dermani MEDSPA® East Cobb","173","4.9","1.01","","not_called","0",""
"Elevate Medical Spa","Nashville","Tennessee","37209","(615) 425-6340","https://www.elevatemedispa.com/","","info@elevatemedispa.com","contact_page","72","5.0","6110 Robertson Ave #102, Nashville, TN 37209","https://www.google.com/maps/search/?api=1&query=Elevate%20Medical%20Spa&query_place_id=ChIJ0XXVck5hZIgRxq70dkYadOg","Medical spa; Beauty salon; Facial spa; Health spa; Plastic surgery clinic; Skin care clinic","ElaMar Nashville","647","5.0","1.92","Hi, Finch","406","5.0","1.23","SLK Aesthetic Medicine","349","4.9","1.12","","not_called","0",""
"NSI Wellness | Aesthetics","Nashville","Tennessee","37203","(615) 431-3724","http://tolmanmedical.com/","","Dakota@tolmanmedical.com","contact_page","364","4.9","118 30th Ave N, Nashville, TN 37203","https://www.google.com/maps/search/?api=1&query=NSI%20Wellness%20%7C%20Aesthetics&query_place_id=ChIJm32TiUpdZIgRzwMVLS49MRc","Medical spa; Esthetics service; Facial spa; Medical clinic; Skin care clinic; Sports medicine clinic; Waxing hair removal service; Weight loss service; Wellness center","ElaMar Nashville","647","5.0","1.27","NakedMD Med Spa Nashville","629","4.8","0.81","Skin Pharm","509","5.0","1.4","","not_called","0",""
"Grace Aesthetics + Wellness","Alpharetta","Georgia","30009","(770) 755-1505","https://gracewellnessspa.com/","","dkream@monarchteams.com","contact_page","81","5.0","11780 Northfall Ln, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=Grace%20Aesthetics%20%2B%20Wellness&query_place_id=ChIJ9StlAaef9YgRypSyZvcG0BM","Medical spa; Day spa; Doctor; Facial spa; Laser hair removal service; Skin care clinic; Spa","Youthtopia Med Spa","467","4.8","0.86","First Body","314","5.0","1.05","Vie Riche","73","4.9","1.28","","not_called","0",""
"LUX Med Spa","Atlanta","Georgia","30342","(404) 465-1234","https://buckheadplasticsurgery.com/lux-med-spa/","","","","170","4.8","4684 Roswell Rd NE UNIT A1, Atlanta, GA 30342","https://www.google.com/maps/search/?api=1&query=LUX%20Med%20Spa&query_place_id=ChIJTSB_hxkP9YgRIL88df0hwQU","Medical spa; Skin care clinic","Derm Clinic M.D.","302","5.0","1.65","SkynBar","286","5.0","1.54","Slater Aesthetics & Anti-Aging","232","4.9","0.3","","not_called","0",""
"Debora K Brazilian Aesthetic Center","Marietta","Georgia","30062","(404) 514-0858","http://www.deborakbrazilianaesthetic.com/","","info@your-company.com","contact_page","79","4.9","2211 Roswell Rd suite 158, Marietta, GA 30062","https://www.google.com/maps/search/?api=1&query=Debora%20K%20Brazilian%20Aesthetic%20Center&query_place_id=ChIJWUG6JaIT9YgRTY1hIIlM9i8","Laser hair removal service; Facial spa; Lymph drainage therapist; Medical spa; Weight loss service","4Ever Young Med Spa & Wellness Center - Marietta","310","4.9","2.78","OVME","251","4.9","3.58","Pele Aesthetics","93","4.9","1.53","","not_called","0",""
"ElaMar Nashville","Nashville","Tennessee","37209","(615) 235-9225","https://elamarskin.com/locations/elamar-nashville-tn/","","nashville@elamarskin.com","contact_page","647","5.0","4101 Charlotte Ave Suite G100, Nashville, TN 37209","https://www.google.com/maps/search/?api=1&query=ElaMar%20Nashville&query_place_id=ChIJzWRlxBZhZIgRF5Byvi9iFng","Medical spa; Facial spa; Skin care clinic","Hi, Finch","406","5.0","1.05","NSI Wellness | Aesthetics","364","4.9","1.27","SLK Aesthetic Medicine","349","4.9","1.15","","not_called","0",""
"Signature Image Atlanta","Marietta","Georgia","30064","(678) 224-7868","http://www.signatureimageatlanta.com/","","","","115","4.9","410 Villa Rica Way SW, Marietta, GA 30064","https://www.google.com/maps/search/?api=1&query=Signature%20Image%20Atlanta&query_place_id=ChIJubcbD9Q99YgR3g7qwy8jf-U","Medical spa; Day spa; Facial spa; Health spa; Skin care clinic; Weight loss service; Wellness center","Marietta Plastic Surgery","1038","4.9","4.46","New You Aesthetic","422","5.0","2.96","Refinery21 Studio","302","5.0","2.57","","not_called","0",""
"SHINE Medical Aesthetics","Alpharetta","Georgia","30009","(470) 470-9986","https://shinemedstudios.com/","","","","154","5.0","2710 Old Milton Pkwy Suite 150, Alpharetta, GA 30009","https://www.google.com/maps/search/?api=1&query=SHINE%20Medical%20Aesthetics&query_place_id=ChIJP9Umupx19YgRMGt3V5jpuyU","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Weight loss service","AYA Medical Spa Avalon - Alpharetta","220","4.9","0.19","Skin Pharm","154","5.0","0.17","OVME","138","4.8","0.08","","not_called","0",""
"Radianté Spa Nashville","Nashville","Tennessee","37204","(615) 239-0094","https://radiantespa.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb","","","","95","5.0","437 E Iris Dr, Nashville, TN 37204","https://www.google.com/maps/search/?api=1&query=Radiant%C3%A9%20Spa%20Nashville&query_place_id=ChIJTTET5t5nZIgRlAjzhr1swjk","Medical spa; Skin care clinic","Melrose Aesthetics","198","5.0","1.26","Anastacia Aesthetics","101","4.9","1.89","Nashville Skin Society","74","5.0","2.03","","not_called","0",""
"Skin MB","Nashville","Tennessee","37215","(615) 891-2881","http://www.skinmb.com/","","info@skinmb.com","contact_page","231","5.0","2225 Bandywood Dr, Nashville, TN 37215","https://www.google.com/maps/search/?api=1&query=Skin%20MB&query_place_id=ChIJW7GWu3VkZIgRHbjYNyUBYnE","Medical spa; Skin care clinic; Spa","Skin Pharm","509","5.0","1.73","OVME","284","4.8","0.06","Complexion Nashville","234","4.9","2.39","","not_called","0",""
"The Aesthetics Club Nashville - By Nash Injections by Hannah","Nashville","Tennessee","37208","(615) 669-6112","https://www.theaestheticsclubnashville.com/","","info@injectionsbyhannah.com","contact_page","275","5.0","500 Madison St APT 107, Nashville, TN 37208","https://www.google.com/maps/search/?api=1&query=The%20Aesthetics%20Club%20Nashville%20-%20By%20Nash%20Injections%20by%20Hannah&query_place_id=ChIJk9rBNFdjZIgR8V60YBdCHNc","Medical spa; Spa","NakedMD Med Spa Nashville","629","4.8","1.74","Toxxology®","131","5.0","0.65","Reflection Aesthetics Co","120","5.0","0.13","","not_called","0",""
"The Natural Look MedSpa","Nashville","Tennessee","37203","(615) 321-5005","http://www.thenaturallook.net/","","info@thenaturallook.net","contact_page","68","5.0","1916 Patterson St #100, Nashville, TN 37203","https://www.google.com/maps/search/?api=1&query=The%20Natural%20Look%20MedSpa&query_place_id=ChIJrTZcAsBmZIgRImnYJL62F4o","Medical spa; Facial spa; Laser hair removal service; Permanent make-up clinic; Skin care clinic","NakedMD Med Spa Nashville","629","4.8","0.26","NSI Wellness | Aesthetics","364","4.9","1.05","The Aesthetics Club Nashville - By Nash Injections by Hannah","275","5.0","1.53","","not_called","0",""
"Nashville Skin Society","Nashville","Tennessee","37211","(615) 866-8653","https://nashvilleskinsociety.com/","","nashvilleskinsociety@gmail.com","contact_page","74","5.0","3708 Nolensville Pk D, Nashville, TN 37211","https://www.google.com/maps/search/?api=1&query=Nashville%20Skin%20Society&query_place_id=ChIJy84X0NtvZIgRxMeDlaODkQ4","Medical spa; Skin care clinic","Sunday Skin","233","4.9","4.15","Melrose Aesthetics","198","5.0","3.29","Anastacia Aesthetics","101","4.9","3.71","","not_called","0",""
"Canvas Skin","Nashville","Tennessee","37220","(615) 630-2994","https://www.canvas-skin.co/","","hello@canvas-skin.co","contact_page","477","5.0","5548 Franklin Pike STE 201, Nashville, TN 37220","https://www.google.com/maps/search/?api=1&query=Canvas%20Skin&query_place_id=ChIJ4ckF1gF7ZIgR1nPVbSU6cJc","Medical spa; Skin care clinic","Sunday Skin","233","4.9","0.64","R3 Anti Aging & Medspa","223","4.9","0.51","Stages Skin Studio","64","5.0","0.62","","not_called","0",""
"Toxxology®","Nashville","Tennessee","37207","(615) 436-8699","https://www.toxxology.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","service@toxxology.com","contact_page","131","5.0","2473 Marine Dr, Nashville, TN 37207","https://www.google.com/maps/search/?api=1&query=Toxxology%C2%AE&query_place_id=ChIJPzMDQ41xZIgR2lpZANGEzQU","Medical spa; Skin care clinic; Wellness center","NakedMD Med Spa Nashville","629","4.8","2.36","The Aesthetics Club Nashville - By Nash Injections by Hannah","275","5.0","0.65","Reflection Aesthetics Co","120","5.0","0.52","","not_called","0",""
"AmaChi MedSpa","Marietta","Georgia","30008","(770) 285-1776","http://www.amachimedspa.com/","","info@amachimedspa.com","contact_page","107","4.8","2285 Asquith Ave SW #200, Marietta, GA 30008","https://www.google.com/maps/search/?api=1&query=AmaChi%20MedSpa&query_place_id=ChIJ-XpNU0k99YgRCaSiv-fkFeY","Medical spa; Facial spa; Plastic surgeon; Skin care clinic; Weight loss service","New You Aesthetic","422","5.0","7.57","Refinery21 Studio","302","5.0","6.49","Chin Up! Aesthetics Atlanta","134","5.0","8.08","","not_called","0",""
"Skin Pharm","Nashville","Tennessee","37212","(615) 582-6726","https://skinpharm.com/nashville","","hello@skinpharm.com","contact_page","509","5.0","2416 21st Ave S STE 201, Nashville, TN 37212","https://www.google.com/maps/search/?api=1&query=Skin%20Pharm&query_place_id=ChIJb7Mkf9xjZIgRjcvP84efD3Q","Medical spa; Health and beauty shop; Skin care clinic","NSI Wellness | Aesthetics","364","4.9","1.4","Complexion Nashville","234","4.9","1.27","Elan Skin & Laser Med Spa of Nashville","206","4.7","1.28","","not_called","0",""
"Complexion Nashville","Nashville","Tennessee","37203","(615) 757-8060","http://www.complexionnashville.com/","","info@complexionnashville.com","contact_page","234","4.9","3417 Murphy Rd, Nashville, TN 37203","https://www.google.com/maps/search/?api=1&query=Complexion%20Nashville&query_place_id=ChIJVR3_m-xnZIgRPyTstBUCiPE","Medical spa; Facial spa; Skin care clinic","ElaMar Nashville","647","5.0","1.23","NakedMD Med Spa Nashville","629","4.8","1.31","Skin Pharm","509","5.0","1.27","","not_called","0",""
"OVME","Nashville","Tennessee","37215","(615) 270-5888","https://ovme.com/pages/green-hills-nashville-tn","","","","284","4.8","4017 Hillsboro Pike #310, Nashville, TN 37215","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJz6Fq-x5lZIgRDlDP7SRM7jU","Medical spa; Laser hair removal service","Skin Pharm","509","5.0","1.77","Complexion Nashville","234","4.9","2.45","Skin MB","231","5.0","0.06","","not_called","0",""
"Misty Med Spa & Skin Rx","Marietta","Georgia","30062","(678) 890-0577","https://www.mistymedspa.com/","","info@mistymedspa.com","contact_page","94","5.0","1505 Johnson Ferry Rd 175 Suite 175, Marietta, GA 30062","https://www.google.com/maps/search/?api=1&query=Misty%20Med%20Spa%20%26%20Skin%20Rx&query_place_id=ChIJvyZBIVQN9YgR80aRgxGfYU8","Medical spa; Dermatologist; Plastic surgery clinic; Skin care clinic","OVME","251","4.9","0.42","dermani MEDSPA® East Cobb","173","4.9","0.9","Atlanta MediSpa & Surgery Center - East Cobb","167","4.8","0.56","","not_called","0",""
"Skinsations Med Spa","Marietta","Georgia","30067","(678) 401-6164","https://skinsations.care/","","support@skinsations.care","contact_page","360","4.8","1275 Powers Ferry Rd #220, Marietta, GA 30067","https://www.google.com/maps/search/?api=1&query=Skinsations%20Med%20Spa&query_place_id=ChIJRUvqLAcR9YgRjQXLLhIyQMs","Medical spa; Facial spa; Laser hair removal service; Skin care clinic","Amerejuve MedSpa Marietta, GA - Laser Hair Removal, CoolSculpting, Botox & Facials","122","4.5","0.7","Pele Aesthetics","93","4.9","3.06","Aqua Medical Spa - Marietta","63","5.0","1.57","","not_called","0",""
"4Ever Young Med Spa & Wellness Center - Marietta","Marietta","Georgia","30066","(470) 740-6847","https://4everyoungantiaging.com/marietta-sprayberry-square/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-marietta-sprayberry-square&y_source=1_MjA2MTUzMTA1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","","info@4everyoungmarietta.com","contact_page","310","4.9","2550 Sandy Plains Rd suite 150, Marietta, GA 30066","https://www.google.com/maps/search/?api=1&query=4Ever%20Young%20Med%20Spa%20%26%20Wellness%20Center%20-%20Marietta&query_place_id=ChIJtVT_zAcT9YgRcfZAQZlSz9g","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Weight loss service; Wellness center","Nazra Aesthetics","219","4.9","4.08","Marietta's Best Medspa, Anti Aging & Regenerative Medicine: Modern Beauty Oasis","132","5.0","3.76","Debora K Brazilian Aesthetic Center","79","4.9","2.78","","not_called","0",""
"dermani MEDSPA® East Cobb","Marietta","Georgia","30068","(404) 905-5099","https://dermanimedspa.com/east-cobb-marietta-ga/","","eastcobb@dermanimedspa.com","contact_page","173","4.9","1205 Johnson Ferry Rd Suite 129, Marietta, GA 30068","https://www.google.com/maps/search/?api=1&query=dermani%20MEDSPA%C2%AE%20East%20Cobb&query_place_id=ChIJAfocrmcN9YgRerdGZh5mTEg","Medical spa; Facial spa; Laser hair removal service","OPAL Aesthetics - East Cobb","557","5.0","0.07","OVME","251","4.9","0.64","Atlanta MediSpa & Surgery Center - East Cobb","167","4.8","0.35","","not_called","0",""
"Smiley Aesthetics Medical Spa – Botox & Weight Loss Clinic Nashville West","Nashville","Tennessee","37209","(629) 276-8951","https://smileyaesthetics.com/locations/west-nashville/","","","","172","5.0","339 White Bridge Pike, Nashville, TN 37209","https://www.google.com/maps/search/?api=1&query=Smiley%20Aesthetics%20Medical%20Spa%20%E2%80%93%20Botox%20%26%20Weight%20Loss%20Clinic%20Nashville%20West&query_place_id=ChIJQSRMpzGJZIgRwzUMzt3iFFc","Medical spa; Plastic surgery clinic; Skin care clinic","ElaMar Nashville","647","5.0","1.3","Hi, Finch","406","5.0","1.19","SLK Aesthetic Medicine","349","4.9","1.16","","not_called","0",""
"Marietta Plastic Surgery","Marietta","Georgia","30060","(678) 264-3984","https://www.mariettaplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing","","","","1038","4.9","823 Campbell Hill St NW, Marietta, GA 30060","https://www.google.com/maps/search/?api=1&query=Marietta%20Plastic%20Surgery&query_place_id=ChIJ9-YJdEYU9YgRZyIOvqAyc9M","Medical spa; Facial spa; Hair transplantation clinic; Laser hair removal service; Plastic surgeon; Plastic surgery clinic; Skin care clinic; Tattoo removal service","4Ever Young Med Spa & Wellness Center - Marietta","310","4.9","4.35","Refinery21 Studio","302","5.0","2.08","Signature Image Atlanta","115","4.9","4.46","","not_called","0",""
"OVME","Marietta","Georgia","30068","(770) 415-6863","https://ovme.com/pages/east-cobb-atlanta-ga","","","","251","4.9","1311 Johnson Ferry Rd Suite 552, Marietta, GA 30068","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJH8_Nn8EN9YgR2hBEjoiAny4","Medical spa; Laser hair removal service","OPAL Aesthetics - East Cobb","557","5.0","0.71","dermani MEDSPA® East Cobb","173","4.9","0.64","Atlanta MediSpa & Surgery Center - East Cobb","167","4.8","0.33","","not_called","0",""
"OVME","Nashville","Tennessee","37203","(615) 647-6863","https://ovme.com/pages/the-gulch-nashville-tn","","","","92","4.9","616 9th Ave S #1A, Nashville, TN 37203","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJc3d5q-JnZIgRzN3eWsB5OCo","Medical spa; Laser hair removal service","NakedMD Med Spa Nashville","629","4.8","1.45","Melrose Aesthetics","198","5.0","1.55","Belcourt Aesthetics","86","4.8","1.61","","not_called","0",""
"Amerejuve MedSpa Marietta, GA - Laser Hair Removal, CoolSculpting, Botox & Facials","Marietta","Georgia","30067","(770) 509-0000","https://www.amerejuve.com/","","info@amerejuve.com","contact_page","122","4.5","1720 Powers Ferry Rd, Marietta, GA 30067","https://www.google.com/maps/search/?api=1&query=Amerejuve%20MedSpa%20Marietta%2C%20GA%20-%20Laser%20Hair%20Removal%2C%20CoolSculpting%2C%20Botox%20%26%20Facials&query_place_id=ChIJ82S6xbsR9YgRBvfBRhZ3k5M","Laser hair removal service; Medical spa","dermani MEDSPA® Vinings","447","4.9","3.16","Skinsations Med Spa","360","4.8","0.7","Aqua Medical Spa - Marietta","63","5.0","1.02","","not_called","0",""
"Glow Medical Spa","Franklin","Tennessee","37069","(615) 398-1102","https://www.glowfranklin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Glow-Medical-Spa&utm_content=website","","info@glowfranklin.com","contact_page","245","4.9","1109 Davenport Blvd #1000, Franklin, TN 37069","https://www.google.com/maps/search/?api=1&query=Glow%20Medical%20Spa&query_place_id=ChIJU2vYw1B-ZIgRlDN3uEpoOi4","Medical spa; Facial spa; Hair removal service; Laser hair removal service; Skin care clinic","615 Aesthetics","420","5.0","1.09","Grace Aesthetics","383","5.0","1.46","Relive Health Brentwood","205","5.0","0.12","","not_called","0",""
